net,length_um
timer\[19\],59.5
_10359_,59.44
_11956_,59.44
irq_pending\[2\],59.42
mem_wordsize\[2\],59.4
_04927_,59.38
_06871_,59.38
_02750_,59.36
_11666_,59.36
_11950_,59.36
_09934_,59.345
_05153_,59.32
_07636_,59.32
net481,59.28
_02581_,59.24
latched_rd\[0\],59.235
_05691_,59.18
cpuregs\[19\]\[16\],59.12
_05038_,59.11
_06370_,59.095
clknet_leaf_178_clk,59.06
_09102_,59.04
_02006_,59.02
_02306_,59.02
_04980_,59.02
clknet_leaf_76_clk,59
_07561_,58.96
_07834_,58.96
instr_rdinstrh,58.89
_07521_,58.88
count_cycle\[58\],58.88
_04191_,58.86
_10119_,58.86
_10244_,58.86
_10518_,58.83
_01950_,58.82
_04204_,58.8
_13878_,58.74
_13268_,58.7
_11411_,58.68
_12486_,58.64
_12810_,58.64
clknet_leaf_148_clk,58.64
_05821_,58.62
timer\[5\],58.62
_04084_,58.58
_05340_,58.58
_10348_,58.555
_10415_,58.54
net255,58.54
_14014_,58.5
_02705_,58.48
_03584_,58.48
_05209_,58.48
_01917_,58.46
_14601_,58.44
_12953_,58.42
_03044_,58.4
_03445_,58.35
_03546_,58.34
_07947_,58.315
_05200_,58.3
_11151_,58.28
_01630_,58.26
_03635_,58.26
_01906_,58.18
_14800_,58.145
_03343_,58.08
_08012_,58.04
_12215_,58.02
_14563_,58.02
_02055_,58
net189,58
_11281_,57.88
_01331_,57.865
_02171_,57.86
_03941_,57.86
_10276_,57.8
_06348_,57.78
_11134_,57.78
_03175_,57.76
_08494_,57.74
_01954_,57.73
_02740_,57.72
clknet_leaf_98_clk,57.7
_02808_,57.68
_11024_,57.64
_02439_,57.635
_03056_,57.62
_02501_,57.6
_09144_,57.6
_12710_,57.6
_02189_,57.595
count_cycle\[4\],57.58
_07602_,57.56
_05191_,57.54
_07219_,57.52
_02289_,57.44
_09188_,57.42
_12791_,57.4
clknet_leaf_151_clk,57.4
_00643_,57.375
_11497_,57.375
_07453_,57.36
_07829_,57.36
net378,57.36
_03026_,57.34
_08365_,57.34
_02657_,57.3
_08378_,57.26
_09910_,57.24
_07609_,57.22
_06266_,57.2
_01501_,57.12
_07073_,57.12
_12112_,57.12
clknet_leaf_24_clk,57.12
net372,57.1
_09550_,57.06
_07606_,57
_09114_,57
_11232_,57
reg_pc\[9\],57
_13713_,56.94
_01334_,56.925
_14779_,56.905
_03880_,56.9
_10466_,56.9
_01850_,56.84
_03824_,56.84
count_instr\[42\],56.82
_09430_,56.78
_11704_,56.76
_12576_,56.7
_08950_,56.66
_11810_,56.64
_05054_,56.61
_14048_,56.6
clknet_leaf_133_clk,56.6
_02107_,56.56
_06566_,56.54
_04888_,56.52
_05077_,56.5
_07596_,56.5
alu_add_sub\[29\],56.48
_03422_,56.46
_11187_,56.45
_02206_,56.44
_03478_,56.44
_00618_,56.42
_10559_,56.4
_06507_,56.34
_12277_,56.32
_13061_,56.32
_13859_,56.32
_13744_,56.3
clknet_leaf_150_clk,56.18
_14012_,56.14
_02323_,56.08
_02584_,56.08
_07279_,56.08
_09733_,56.08
_10640_,56.08
_12659_,56.08
_14141_,56.06
_06415_,56.02
_12867_,56.02
_13168_,56.02
_08538_,56
timer\[22\],55.97
clknet_leaf_66_clk,55.94
_07631_,55.86
irq_pending\[6\],55.86
_14311_,55.84
_02258_,55.82
_07603_,55.82
_02643_,55.8
_09056_,55.78
_08838_,55.775
_11479_,55.76
_10274_,55.735
_09916_,55.72
_05001_,55.71
_12444_,55.7
_14789_,55.7
_04990_,55.64
_02459_,55.62
_05144_,55.62
_12565_,55.62
_09171_,55.58
_03662_,55.48
_08368_,55.48
_14376_,55.48
net187,55.48
_08355_,55.46
_10859_,55.46
_13512_,55.44
_13637_,55.44
_12208_,55.39
reg_out\[2\],55.38
_06561_,55.36
_05003_,55.34
_07664_,55.34
_14136_,55.32
_02025_,55.28
_13565_,55.26
_13300_,55.24
clknet_leaf_17_clk,55.24
_12718_,55.22
_07026_,55.2
_07217_,55.19
_05472_,55.18
_09713_,55.18
_01751_,55.16
_10496_,55.16
_05366_,55.14
_03754_,55.08
_02442_,55.04
_05359_,55.04
_02586_,55.02
_13031_,55.02
_12853_,55
_13158_,55
_07215_,54.91
_11044_,54.9
_11911_,54.9
alu_out_q\[26\],54.9
_05059_,54.88
_02872_,54.86
_06568_,54.78
_07914_,54.78
_12248_,54.78
alu_out_q\[15\],54.76
_04198_,54.74
_06245_,54.74
_02583_,54.72
_03647_,54.72
_07605_,54.72
clknet_leaf_157_clk,54.72
_01869_,54.68
_11165_,54.66
_06563_,54.64
_13107_,54.64
_02094_,54.58
instr_lh,54.58
_09897_,54.575
_05039_,54.56
_10532_,54.54
alu_out_q\[22\],54.535
_08911_,54.48
_10876_,54.48
_07413_,54.46
reg_pc\[11\],54.46
_02315_,54.4
genblk1.pcpi_mul.rd\[38\],54.38
_03569_,54.32
timer\[31\],54.29
_03960_,54.26
_11400_,54.26
_00892_,54.145
_13617_,54.14
_08903_,54.12
_09030_,54.12
_02743_,54.1
_08934_,54.06
_09598_,54.05
_05288_,54.02
irq_pending\[29\],53.99
_08101_,53.98
_05088_,53.975
_02364_,53.9
_04151_,53.88
_07831_,53.88
_08454_,53.88
_07920_,53.86
_08901_,53.855
_07142_,53.81
_08955_,53.8
_12276_,53.76
_05289_,53.72
count_cycle\[8\],53.7
count_instr\[51\],53.68
_14570_,53.66
_13677_,53.64
_00642_,53.605
_07661_,53.58
_04951_,53.56
_05138_,53.56
_13584_,53.56
_05182_,53.55
_03292_,53.54
_14043_,53.52
net262,53.5
_07646_,53.48
_02919_,53.44
_02607_,53.42
_07882_,53.42
_11320_,53.42
_11876_,53.38
_14307_,53.38
reg_next_pc\[18\],53.36
_02938_,53.34
_04931_,53.34
_02736_,53.32
_10016_,53.32
_05415_,53.3
_05394_,53.28
_03176_,53.26
_06924_,53.26
_09418_,53.26
_10349_,53.22
_03582_,53.2
_08007_,53.16
_07149_,53.12
clknet_leaf_183_clk,53.12
_09809_,53.08
_03717_,53.04
_05883_,53.04
_13203_,52.98
_07451_,52.96
_10150_,52.96
_09007_,52.94
_08095_,52.9
_13055_,52.9
_13387_,52.88
_14565_,52.88
clknet_leaf_15_clk,52.84
alu_out\[4\],52.825
instr_lb,52.82
clknet_leaf_160_clk,52.82
_13686_,52.8
alu_out_q\[19\],52.8
_03750_,52.78
_05463_,52.78
_13521_,52.78
_07517_,52.76
_01323_,52.74
_08088_,52.7
_13875_,52.7
_09855_,52.68
net172,52.66
_11295_,52.64
_10208_,52.62
_14502_,52.58
_07610_,52.56
clknet_leaf_14_clk,52.54
_05064_,52.52
count_instr\[45\],52.5
_06317_,52.42
_14740_,52.42
_01598_,52.41
_03337_,52.4
_07688_,52.38
_14206_,52.38
_14688_,52.38
_05348_,52.37
_07623_,52.36
_11251_,52.36
_12410_,52.34
_14238_,52.32
_02635_,52.3
_04983_,52.26
_03638_,52.24
_08516_,52.24
_09441_,52.2
_05279_,52.18
_09493_,52.18
count_instr\[36\],52.18
cpuregs\[3\]\[16\],52.18
_02603_,52.15
_05339_,52.14
timer\[4\],52.14
_03313_,52.1
_04372_,52.1
_03135_,52.08
_05621_,52.06
_06208_,52.06
alu_shl\[7\],52.055
_11597_,52.04
_11788_,52.04
_06523_,52
_10978_,52
_08663_,51.98
cpuregs\[1\]\[24\],51.98
_07377_,51.96
_05699_,51.94
_05163_,51.86
_07357_,51.86
_12034_,51.86
_12338_,51.86
_14320_,51.86
_09507_,51.78
_07440_,51.74
_13425_,51.7
_05004_,51.68
_13619_,51.66
_09530_,51.62
_13863_,51.6
_13345_,51.58
_07575_,51.54
_10566_,51.54
_04351_,51.52
cpuregs\[3\]\[15\],51.5
_12304_,51.48
_13639_,51.475
_05011_,51.46
_09603_,51.44
is_sltiu_bltu_sltu,51.44
_07311_,51.435
_13288_,51.42
timer\[24\],51.38
_14773_,51.365
_02890_,51.36
_09487_,51.36
_05175_,51.32
_14777_,51.285
_10020_,51.28
_07550_,51.27
_08125_,51.26
_13245_,51.26
_05000_,51.2
_12349_,51.13
_13086_,51.12
net218,51.1
_07956_,51.08
_08341_,51.08
_10522_,51.06
_13794_,51.04
_10172_,51.02
_05132_,51
_06369_,51
timer\[27\],51
_08338_,50.98
_11421_,50.98
_12395_,50.96
_04913_,50.92
_11430_,50.88
_04285_,50.86
_08042_,50.84
_03406_,50.8
_10113_,50.8
_09621_,50.78
_10502_,50.74
_11050_,50.74
cpu_state\[0\],50.74
_07525_,50.72
_09538_,50.7
_10565_,50.7
_13062_,50.7
mem_state\[0\],50.7
clknet_leaf_70_clk,50.7
_02922_,50.68
_10646_,50.66
_06512_,50.62
_08758_,50.6
_11835_,50.56
_06961_,50.52
_10555_,50.5
_14409_,50.5
_02242_,50.48
_09282_,50.465
_08985_,50.45
_01728_,50.44
_13946_,50.44
reg_out\[9\],50.44
_01838_,50.42
_01570_,50.38
_12528_,50.38
_02219_,50.36
_03080_,50.36
count_instr\[24\],50.36
count_instr\[26\],50.36
_13935_,50.355
_08797_,50.35
_02247_,50.32
reg_out\[10\],50.32
_04480_,50.3
_13649_,50.3
_08726_,50.28
_11589_,50.28
_13817_,50.28
count_instr\[48\],50.26
_02384_,50.24
_05079_,50.2
_13969_,50.18
_09781_,50.08
reg_pc\[21\],50.08
_14291_,50.06
_14049_,50.04
_05006_,50.02
_13774_,50.01
_01775_,49.96
_08527_,49.92
_10823_,49.9
_13399_,49.9
_06285_,49.895
_01832_,49.88
_04155_,49.88
_05008_,49.88
_13363_,49.88
reg_next_pc\[24\],49.86
_11720_,49.84
_05106_,49.82
_06552_,49.82
_04992_,49.81
_08798_,49.8
_09072_,49.8
_14775_,49.785
_04962_,49.78
_04981_,49.78
clknet_leaf_135_clk,49.78
_03451_,49.72
_11785_,49.72
_02881_,49.7
_12150_,49.7
_11382_,49.68
_01984_,49.675
_09387_,49.66
_12136_,49.66
_12748_,49.66
genblk1.pcpi_mul.rd\[1\],49.66
_07625_,49.64
_09411_,49.64
_04984_,49.62
_10850_,49.62
_13917_,49.56
_09644_,49.52
_07540_,49.5
_07339_,49.44
_07322_,49.42
_10086_,49.42
genblk1.pcpi_mul.rd\[2\],49.42
_12925_,49.375
_03070_,49.36
_02888_,49.32
_04997_,49.32
_06543_,49.32
_02904_,49.28
_09326_,49.28
_09570_,49.26
_09296_,49.24
_11237_,49.24
_12995_,49.22
reg_pc\[3\],49.18
_08453_,49.12
_14663_,49.1
_04508_,49.08
_07529_,49.08
net463,49.06
_10517_,49.055
_14651_,49.04
_06545_,49.01
_11159_,49
_11846_,49
_13298_,49
_12680_,48.96
_07647_,48.95
_06549_,48.9
_11591_,48.86
_12747_,48.86
clknet_leaf_18_clk,48.86
_05154_,48.8
_06459_,48.74
_13897_,48.74
clknet_leaf_68_clk,48.74
_01595_,48.72
_04905_,48.695
_08694_,48.68
_13202_,48.62
_06559_,48.6
_07665_,48.6
_06974_,48.585
_06327_,48.58
_02305_,48.56
_02977_,48.54
_04974_,48.52
_13007_,48.52
_13952_,48.5
_08904_,48.46
_01958_,48.44
_02598_,48.4
_08070_,48.4
latched_rd\[1\],48.4
_06712_,48.32
_09409_,48.32
_12613_,48.32
_04835_,48.305
_05297_,48.29
_09591_,48.28
_14770_,48.28
_09602_,48.24
_01831_,48.2
alu_shl\[20\],48.2
_08076_,48.18
_10540_,48.18
_09929_,48.16
_08127_,48.14
_08049_,48.12
count_cycle\[55\],48.1
_07968_,48.08
_07567_,48.06
_02634_,48.04
_07620_,48.04
_09325_,48.04
_03874_,48
_07387_,47.98
_10764_,47.98
_02067_,47.94
cpuregs\[1\]\[29\],47.94
_03134_,47.92
_13253_,47.92
_03720_,47.9
_11252_,47.9
_14019_,47.9
_03937_,47.895
_02290_,47.88
timer\[16\],47.88
_13930_,47.86
_03458_,47.82
_05160_,47.82
_11811_,47.78
_09648_,47.76
_00018_,47.745
_02147_,47.74
_03669_,47.72
_13669_,47.72
_14556_,47.7
_03681_,47.695
_04915_,47.64
count_instr\[40\],47.62
net382,47.62
_14416_,47.6
_02224_,47.56
_13390_,47.56
_07103_,47.52
_13446_,47.52
_06318_,47.5
alu_out_q\[27\],47.5
_03411_,47.49
_02497_,47.46
_02990_,47.46
_03158_,47.42
_08932_,47.42
_14588_,47.42
_01351_,47.385
_07579_,47.38
_12868_,47.38
_10477_,47.34
_05091_,47.3
_08896_,47.24
_13944_,47.24
count_instr\[23\],47.22
_07619_,47.14
_13377_,47.14
_13860_,47.12
_06498_,47.1
_12146_,47.08
_11188_,47.06
_08082_,47.02
_01927_,46.98
_06806_,46.98
_07228_,46.96
alu_add_sub\[28\],46.94
_01864_,46.88
_11324_,46.88
_14787_,46.88
_01528_,46.86
_05122_,46.86
_08889_,46.86
_03059_,46.84
_05703_,46.82
_11984_,46.82
_02026_,46.78
_12861_,46.78
cpuregs\[19\]\[17\],46.78
_03657_,46.7
_06943_,46.7
_13652_,46.68
_03862_,46.66
_12855_,46.64
count_instr\[21\],46.6
_02222_,46.58
cpu_state\[2\],46.56
timer\[3\],46.56
_05662_,46.52
_06919_,46.52
_14098_,46.52
_10519_,46.5
_04160_,46.48
_09309_,46.46
count_instr\[41\],46.45
_02877_,46.42
_04037_,46.41
_04917_,46.4
_07950_,46.38
_09377_,46.32
_07507_,46.24
_01547_,46.22
_03050_,46.22
_08096_,46.22
_10134_,46.22
_09453_,46.2
_04141_,46.18
_10336_,46.14
_11104_,46.14
_14430_,46.14
net217,46.12
_02638_,46.08
_03675_,46.08
_11705_,46.06
clknet_leaf_4_clk,46.06
net343,46.04
_10410_,45.98
_02792_,45.96
_02933_,45.94
_13346_,45.92
_06530_,45.88
_05264_,45.86
_09764_,45.86
_13164_,45.84
_14742_,45.84
_03280_,45.78
_08075_,45.78
mem_state\[1\],45.78
net334,45.78
_12434_,45.76
_11994_,45.72
_03649_,45.68
_13866_,45.68
_03385_,45.66
_02236_,45.64
timer\[7\],45.64
_02298_,45.63
_08315_,45.61
_02633_,45.6
_09447_,45.6
_02887_,45.58
_08842_,45.56
timer\[29\],45.54
_07533_,45.52
_04749_,45.5
_10162_,45.5
_10085_,45.48
_11739_,45.48
_12172_,45.46
_07431_,45.44
net256,45.44
_09692_,45.42
_09704_,45.4
_10125_,45.4
_02288_,45.36
alu_add_sub\[26\],45.36
_09396_,45.32
_05030_,45.3
_11112_,45.28
_14194_,45.28
_12315_,45.24
_12678_,45.22
_02585_,45.2
_02642_,45.2
_12922_,45.2
_03501_,45.18
_07652_,45.16
_08432_,45.16
_09017_,45.16
_13651_,45.16
_02910_,45.1
_04127_,45.1
_08289_,45.09
_05162_,45.08
clknet_leaf_71_clk,45.06
_08860_,45.02
_09280_,44.96
_03024_,44.94
_03159_,44.94
_12447_,44.94
_12586_,44.92
_12717_,44.92
_02997_,44.9
_04072_,44.9
_13240_,44.88
_06328_,44.86
_05082_,44.84
_04493_,44.82
_09777_,44.82
_05167_,44.78
net377,44.76
_02757_,44.74
_08585_,44.74
_07243_,44.725
_02167_,44.72
_02676_,44.71
_03781_,44.7
_10272_,44.68
_13149_,44.665
_02457_,44.66
_06527_,44.66
_01562_,44.64
_13550_,44.6
count_instr\[4\],44.6
_07369_,44.58
_01867_,44.56
_02733_,44.56
_05136_,44.56
_09297_,44.56
_13350_,44.54
_13252_,44.48
_14767_,44.465
count_instr\[39\],44.46
cpuregs\[3\]\[23\],44.46
_14796_,44.385
_05022_,44.38
_04601_,44.36
_02332_,44.32
_12877_,44.32
_01737_,44.3
_04353_,44.3
_10711_,44.3
count_instr\[0\],44.3
_03670_,44.28
_01686_,44.26
_03659_,44.24
_07509_,44.24
_13998_,44.24
_07084_,44.22
_10071_,44.22
_13445_,44.22
_06298_,44.185
_04843_,44.14
_12035_,44.14
reg_next_pc\[26\],44.14
_07441_,44.12
_13194_,44.12
_04090_,44.1
_02365_,44.08
_08173_,44.04
_09221_,44.04
_03644_,43.96
_05270_,43.94
_09949_,43.94
_03126_,43.92
_08356_,43.92
_10536_,43.92
_08506_,43.9
_03830_,43.865
_14080_,43.86
clknet_leaf_119_clk,43.84
_08310_,43.815
_13291_,43.78
_09064_,43.76
_09341_,43.76
_02079_,43.73
_09898_,43.72
_04386_,43.7
_07364_,43.7
_04989_,43.68
_06936_,43.68
_06385_,43.66
_10973_,43.64
_13806_,43.6
_10215_,43.56
_11277_,43.54
_02570_,43.48
_11113_,43.465
_05097_,43.46
_07295_,43.44
_11924_,43.44
_04969_,43.425
_04418_,43.42
_09187_,43.42
_13852_,43.4
_02166_,43.38
_12600_,43.38
cpuregs\[3\]\[25\],43.38
latched_stalu,43.34
_05093_,43.32
_05881_,43.32
_02513_,43.28
_09690_,43.28
net219,43.28
_08380_,43.26
instr_bne,43.26
_07986_,43.24
_11643_,43.24
_09298_,43.2
count_instr\[58\],43.18
_03391_,43.16
_12462_,43.16
_02064_,43.14
_11553_,43.14
_14030_,43.14
_11947_,43.12
_14228_,43.12
_11486_,43.1
count_cycle\[7\],43.08
_04364_,43.06
_08083_,43.06
_13638_,43.035
_12946_,43.03
_01320_,43.005
_04336_,42.98
_06532_,42.98
_09753_,42.98
_10573_,42.98
_04340_,42.96
_06541_,42.96
_11598_,42.96
_01986_,42.94
_03058_,42.92
_04959_,42.92
count_cycle\[33\],42.9
_04854_,42.85
_02221_,42.84
_09429_,42.84
_07196_,42.83
_06472_,42.82
_13131_,42.82
_12438_,42.78
count_cycle\[37\],42.78
count_instr\[54\],42.78
_07508_,42.76
_13611_,42.74
_02010_,42.72
_02056_,42.72
_12381_,42.72
_08827_,42.66
_02751_,42.64
_09840_,42.64
_13506_,42.64
reg_pc\[2\],42.64
_11011_,42.62
count_cycle\[34\],42.62
_05099_,42.6
_11390_,42.56
_09095_,42.52
_10123_,42.52
_13429_,42.5
_13706_,42.5
_04979_,42.46
_10869_,42.46
_11428_,42.46
alu_out_q\[17\],42.46
_03855_,42.42
alu_shl\[16\],42.4
_03976_,42.3
_13469_,42.28
_03047_,42.26
_12737_,42.26
_13546_,42.26
_06775_,42.255
_03847_,42.22
_07338_,42.22
_12470_,42.2
_02716_,42.14
_12241_,42.12
_08094_,42.1
_12915_,42.1
_08184_,42.08
_12231_,42.055
_01680_,42.045
_01512_,42.04
_13715_,42.04
_06516_,42.02
_01558_,42
_14607_,41.98
cpuregs\[7\]\[6\],41.96
reg_next_pc\[30\],41.96
_12132_,41.94
_12852_,41.94
cpuregs\[17\]\[27\],41.94
_10081_,41.9
_14024_,41.9
_08500_,41.88
_03023_,41.86
_02387_,41.84
_09801_,41.84
_10124_,41.84
_10199_,41.84
cpuregs\[6\]\[6\],41.84
_06110_,41.835
_09646_,41.82
_11995_,41.82
_14503_,41.8
count_cycle\[26\],41.76
_09577_,41.7
_11612_,41.68
_07514_,41.66
_10624_,41.66
_03723_,41.645
_08174_,41.62
_10197_,41.62
_01257_,41.585
_02972_,41.58
_02620_,41.56
count_instr\[20\],41.56
_04590_,41.54
_08933_,41.52
_11697_,41.5
_13148_,41.46
_04591_,41.445
_04049_,41.42
_06209_,41.4
_11254_,41.32
_00617_,41.28
_07263_,41.28
_11552_,41.275
_06525_,41.26
_07912_,41.26
_01852_,41.24
_02641_,41.24
_11916_,41.24
count_cycle\[16\],41.24
_13308_,41.225
_07701_,41.22
_04758_,41.18
_14289_,41.17
_08931_,41.16
_14595_,41.16
_14389_,41.14
instr_lw,41.125
_04747_,41.12
_09974_,41.12
cpuregs\[13\]\[17\],41.12
_14737_,41.1
_07614_,41.09
_07973_,41.08
_13488_,41.08
_14695_,41.08
_04354_,41.06
_12445_,41.05
_10018_,41.04
_14406_,41.04
_02879_,41
_13898_,41
clknet_leaf_117_clk,41
_02779_,40.98
count_cycle\[57\],40.96
alu_out_q\[21\],40.94
_03320_,40.92
_06770_,40.92
_11087_,40.92
_11842_,40.9
timer\[15\],40.9
_02755_,40.88
_04349_,40.88
_08587_,40.88
_12585_,40.88
_01985_,40.86
_03061_,40.86
timer\[18\],40.86
_11744_,40.84
_10200_,40.82
_03869_,40.8
_12388_,40.8
_14243_,40.8
_01802_,40.78
_02441_,40.78
_11784_,40.78
_11879_,40.78
_11186_,40.76
_13903_,40.76
_06466_,40.74
_08594_,40.725
_09720_,40.72
_09131_,40.7
_00640_,40.685
_06537_,40.66
_13889_,40.66
_10523_,40.64
_11568_,40.64
cpuregs\[1\]\[27\],40.64
_14782_,40.625
_04956_,40.62
_13139_,40.62
_14093_,40.62
_08859_,40.6
_01069_,40.58
_11325_,40.58
_09459_,40.56
alu_shl\[28\],40.56
_11838_,40.52
_10010_,40.47
_02419_,40.46
_10099_,40.46
_08443_,40.44
_07961_,40.36
_11136_,40.36
_12507_,40.36
_04146_,40.34
_01979_,40.26
_10570_,40.26
_11446_,40.24
alu_add_sub\[27\],40.24
alu_shr\[19\],40.24
_03243_,40.22
_08822_,40.22
_03007_,40.2
_05084_,40.2
_07970_,40.2
_10577_,40.2
count_instr\[49\],40.2
_11306_,40.18
reg_next_pc\[7\],40.18
_01865_,40.16
_10161_,40.16
_06968_,40.14
_04032_,40.12
_12030_,40.1
count_instr\[52\],40.1
_13547_,40.06
_08005_,40.04
_13826_,40
_01769_,39.98
_12738_,39.98
_04899_,39.96
_11105_,39.96
count_instr\[29\],39.96
_01740_,39.94
_11520_,39.94
_09502_,39.9
_09527_,39.9
_03952_,39.88
count_cycle\[49\],39.88
cpuregs\[2\]\[1\],39.86
_03165_,39.84
_02312_,39.82
_10541_,39.8
_11418_,39.8
_14050_,39.78
_12085_,39.76
count_cycle\[1\],39.76
_02031_,39.74
_03413_,39.72
_12862_,39.7
_13653_,39.68
_12523_,39.66
count_instr\[37\],39.66
_13250_,39.64
_07405_,39.58
_09620_,39.57
_03303_,39.56
_07839_,39.54
count_instr\[46\],39.52
_06280_,39.515
_09307_,39.46
_09742_,39.44
_02300_,39.4
_11156_,39.38
_03972_,39.36
cpuregs\[6\]\[20\],39.36
_12305_,39.32
_10250_,39.31
_01169_,39.305
_01788_,39.28
_02908_,39.28
_08366_,39.28
cpuregs\[13\]\[13\],39.28
instr_sub,39.28
_14747_,39.265
_03682_,39.25
cpuregs\[9\]\[6\],39.22
_02191_,39.2
_04431_,39.2
_02330_,39.16
_06942_,39.14
_12589_,39.14
_13600_,39.14
_01535_,39.12
_05112_,39.02
_06501_,39.02
_06569_,39.02
_12996_,38.94
genblk1.pcpi_mul.active\[1\],38.94
_04339_,38.88
_11094_,38.88
_12057_,38.865
_07090_,38.84
_09258_,38.84
_08984_,38.83
_08830_,38.82
_06578_,38.81
_09601_,38.8
_11296_,38.76
_12087_,38.74
count_instr\[7\],38.72
_05116_,38.66
_13130_,38.66
clknet_leaf_83_clk,38.66
_14078_,38.63
_08084_,38.62
_08435_,38.62
_10431_,38.62
_04504_,38.6
_04513_,38.59
_08542_,38.58
_13979_,38.54
_04933_,38.52
_03966_,38.49
_09568_,38.48
alu_shr\[15\],38.48
_02320_,38.46
_04678_,38.44
_06202_,38.44
_11218_,38.44
_13235_,38.44
_08653_,38.4
_13858_,38.4
_05119_,38.38
_13458_,38.38
reg_pc\[12\],38.36
_12284_,38.32
reg_next_pc\[16\],38.32
_08824_,38.305
_02752_,38.28
_11840_,38.28
_12545_,38.28
_05037_,38.24
_07526_,38.24
_10564_,38.2
_01856_,38.18
_08854_,38.18
_04088_,38.16
_14081_,38.14
_11185_,38.12
_00639_,38.115
_06363_,38.08
_09427_,38.08
_11179_,38.08
_02186_,38.04
_10697_,38.04
_11925_,38.02
cpuregs\[18\]\[27\],38.02
_14001_,37.995
_10647_,37.98
alu_shl\[30\],37.94
_02532_,37.9
_13940_,37.9
_13688_,37.88
_14434_,37.82
_14596_,37.82
_04050_,37.78
_02710_,37.76
_07944_,37.76
_14433_,37.72
_10691_,37.7
_11665_,37.7
_01212_,37.685
_04259_,37.66
_13207_,37.64
_07214_,37.6
_13654_,37.6
_03012_,37.58
_02140_,37.56
alu_add_sub\[25\],37.56
_01780_,37.52
_04272_,37.5
_13241_,37.5
_14017_,37.5
_07873_,37.48
_08803_,37.48
_07584_,37.46
_09768_,37.46
reg_next_pc\[10\],37.46
_03383_,37.44
_04071_,37.44
_04971_,37.44
_03371_,37.4
_03825_,37.4
_11906_,37.4
alu_shl\[29\],37.36
_01589_,37.34
_09310_,37.34
instr_sh,37.34
_09288_,37.32
_13804_,37.28
_01903_,37.26
count_cycle\[25\],37.26
alu_shl\[9\],37.245
_04882_,37.24
instr_getq,37.22
_02564_,37.2
_04691_,37.2
_08081_,37.2
_06319_,37.18
_04190_,37.16
_11272_,37.16
_13394_,37.16
_13714_,37.16
_13070_,37.1
_13662_,37.1
_09597_,37.08
_06447_,37.06
_13959_,37.06
_14439_,37.06
_14454_,37.06
alu_shl\[19\],37.06
_13008_,37.04
_07216_,37.02
_07959_,37.02
_07022_,36.98
_11338_,36.98
_12019_,36.98
_02905_,36.96
_08562_,36.94
_13400_,36.92
_12508_,36.9
_07253_,36.88
_14230_,36.88
_02111_,36.86
_08437_,36.86
_14661_,36.84
_01523_,36.82
_11922_,36.8
net261,36.78
_07971_,36.76
_13694_,36.76
_13822_,36.74
_01669_,36.72
_04334_,36.72
count_instr\[43\],36.72
_06305_,36.7
_02549_,36.675
_12217_,36.66
_14102_,36.66
_04863_,36.64
_13047_,36.64
alu_shr\[12\],36.64
_06597_,36.62
_13589_,36.62
_01998_,36.6
_10516_,36.6
_07008_,36.56
_05009_,36.55
_06789_,36.54
_04328_,36.52
_04662_,36.52
_03968_,36.48
_12272_,36.47
_02245_,36.46
_14272_,36.46
_04850_,36.45
_01859_,36.44
_07342_,36.425
_01620_,36.42
_08098_,36.42
_11023_,36.42
is_slti_blt_slt,36.4
_03192_,36.38
count_cycle\[31\],36.38
_07358_,36.36
_13621_,36.36
_14288_,36.36
_07905_,36.35
_14593_,36.34
_08306_,36.3
count_cycle\[43\],36.3
_12813_,36.28
timer\[2\],36.28
_13835_,36.26
_14731_,36.22
_05697_,36.2
_07023_,36.18
_08637_,36.18
_08914_,36.18
_13990_,36.18
_13361_,36.16
_03464_,36.1
_14612_,36.1
_01807_,36.08
_02020_,36.08
_13032_,36.06
_14413_,36.06
_14481_,36.06
_07907_,36.03
_04875_,36
_09386_,35.98
_11404_,35.98
_11729_,35.98
_11917_,35.98
_14203_,35.98
_03460_,35.96
_05104_,35.94
count_cycle\[9\],35.94
_02123_,35.92
_04960_,35.92
_07673_,35.88
_12644_,35.86
_03262_,35.84
_01772_,35.82
_12096_,35.82
_04274_,35.795
_02029_,35.72
_06453_,35.72
_02101_,35.68
_11730_,35.68
_02367_,35.66
count_cycle\[6\],35.66
_14666_,35.645
_05074_,35.64
_08597_,35.64
_13068_,35.64
_02188_,35.6
_02748_,35.6
_10159_,35.6
_01773_,35.58
cpuregs\[13\]\[15\],35.58
_11178_,35.56
_10219_,35.54
_06681_,35.52
_14623_,35.52
_09342_,35.5
_09113_,35.475
_03282_,35.46
_13612_,35.46
_11079_,35.42
_02952_,35.36
_04526_,35.36
_09183_,35.36
_13805_,35.36
_14575_,35.36
count_instr\[27\],35.36
_01999_,35.34
_07355_,35.32
_08509_,35.32
_01670_,35.3
_09637_,35.29
_03357_,35.26
_14613_,35.26
_11492_,35.24
_00924_,35.225
alu_out\[3\],35.225
_07855_,35.2
_08652_,35.2
_02469_,35.18
_04089_,35.18
_10097_,35.16
_13976_,35.14
_12472_,35.12
_06500_,35.1
_12932_,35.1
_14082_,35.08
count_cycle\[22\],35.045
_09371_,35.04
_04066_,35.02
_05026_,35.02
_05664_,35.02
_08937_,35.02
_05707_,34.96
_02296_,34.94
_05014_,34.86
_08487_,34.84
_10151_,34.84
_11244_,34.84
count_cycle\[45\],34.84
