net,length_um
net36,348.51
_08979_,348.23
net40,348.15
_09033_,348.12
net41,347.94
net306,347.94
_09895_,347.8
net42,347.65
net35,347.1
_08765_,346.99
decoded_imm_uj\[2\],346.95
_11888_,346.18
net34,345.8
net130,345.78
_02184_,345.42
_05744_,345.42
_11894_,345.06
_08760_,344.915
_08777_,344.28
_09896_,343.49
_11086_,342.49
_10459_,342.44
genblk1.pcpi_mul.rs1\[27\],342.295
_11961_,341.34
clknet_4_8__leaf_clk,340.43
_06287_,340.4
net146,339.64
_08892_,339.61
_05204_,339.34
_12532_,339.14
_05215_,339.04
_08700_,338.86
net305,338.26
_10909_,338.05
_12184_,337.94
_10041_,337.72
net182,337.52
_12716_,337.36
_08472_,337.16
_12713_,337.055
_05986_,336.38
_09340_,335.69
_08521_,335.16
net50,335.02
_08642_,334.89
net329,334.74
_05576_,334.72
_11028_,334.58
_12625_,334.14
_06589_,334.11
_10998_,333.88
_11310_,333.77
_08877_,333.52
net152,333.22
_02027_,333.09
clknet_4_9__leaf_clk,333.06
_10411_,333.02
_08543_,332.98
_11381_,332.78
_10365_,332.58
_10507_,332.18
_05395_,331.9
_10474_,331.88
decoded_imm_uj\[13\],331.64
net43,331.46
_10441_,331.26
net51,330.9
_12845_,330.76
net318,330.56
_11307_,329.6
_01801_,329.5
_08531_,329.46
_12583_,329.43
net330,329.18
_08708_,329.05
net45,329
_09566_,328.81
_10391_,328.12
_08707_,327.58
_10885_,327.38
_08884_,327.36
net46,327.32
_11573_,327.23
_14366_,326.96
_05631_,326.84
_08792_,326.78
_10158_,326.06
_11205_,326
_09844_,325.94
_11564_,325.555
_08855_,324.94
net315,324.89
_09077_,324.82
_10246_,324.1
_08793_,323.88
_06273_,323.82
net115,323.34
net310,323.16
_08343_,323.01
_12626_,323
net118,322.78
_09440_,322.52
_05583_,322.1
net52,322.09
decoded_imm_uj\[5\],321.91
_10334_,321.9
net323,321.81
_08772_,321.8
_00079_,321.755
_08872_,320.73
_08972_,320.42
net135,320.3
net279,319.92
_11878_,319.81
_04954_,319.09
_09089_,319.01
_12455_,318.6
net116,318.3
_00081_,318.14
_10289_,318.14
_09122_,318.12
decoded_imm_uj\[14\],318.04
net49,317.43
_11369_,317.36
_08210_,317.34
net159,317.29
_08963_,317.17
decoded_imm_uj\[12\],316.57
_11734_,316.54
_00078_,316.445
_08757_,316.28
_09290_,316.15
_00085_,315.865
genblk1.pcpi_mul.rd\[51\],315.2
alu_out_q\[4\],314.68
_12572_,314.46
_08844_,314.26
net316,314.21
_05387_,313.1
_08517_,312.02
instr_waitirq,311.34
_09023_,311.25
_11031_,310.79
_13533_,310.68
_01799_,310.32
_10352_,310.22
_10395_,310.02
_00080_,309.82
_09009_,309.82
_05783_,309.68
_10233_,309.62
_08849_,309.22
net280,309.08
_10447_,309.075
net48,308.91
_08756_,308.78
_08850_,308.54
decoded_imm_uj\[6\],307.85
net63,307.55
_08948_,307.31
_05538_,306.94
_00087_,306.685
_11575_,306.065
net39,306.06
_08943_,305.99
_12209_,305.11
_09125_,305.07
net181,304.46
_12007_,304.42
_05908_,304.36
_10435_,303.9
net57,303.79
_08869_,303.755
_05791_,302.6
_00086_,302.285
_08488_,302.11
_10457_,301.98
_12264_,301.72
_08722_,301.66
_08829_,301.42
_09220_,301.32
_10401_,301.26
genblk1.pcpi_mul.rs1\[30\],301.23
_10358_,301.1
_14519_,300.86
net112,300.78
_14101_,300.37
_14118_,300.24
net101,300.22
_11158_,300.2
_09228_,299.58
_05623_,299.06
_06382_,298.955
_09853_,298.94
_10372_,298.6
_08699_,298.5
net397,297.34
_08771_,297.2
_10429_,297.1
_09076_,296.9
_11304_,296.88
_13428_,296.66
net131,296.66
_12850_,296.57
_08475_,296.5
_12237_,296.36
_09741_,296.19
net284,296
_10911_,295.86
_08958_,295.52
_09207_,295.29
_11224_,295.16
net150,295.15
net151,294.71
instr_jal,293.69
_11645_,293.56
net324,293.44
_05513_,293.38
net186,293.36
net173,292.98
_09854_,292.8
_03768_,292.78
_11954_,292.78
_11051_,292.35
net158,292.28
_11477_,292.085
_08848_,291.715
_13423_,291.6
genblk1.pcpi_mul.rs1\[25\],291.45
_11849_,290.89
alu_out_q\[2\],290.82
_10423_,290.78
_08622_,290.36
_13911_,290.16
_12734_,290.02
genblk1.pcpi_mul.rs2\[32\],289.45
_09580_,289.36
_11951_,288.885
_08727_,288.72
_13748_,288.32
_10121_,288.17
net121,288.02
_14020_,287.92
_05231_,287.9
_08287_,287.69
_13945_,287.66
net64,287.57
_06590_,287.15
_12841_,286.87
_11890_,286.58
net53,286.02
_08135_,285.98
net288,285.89
_02178_,285.78
_09018_,285.68
net33,285.525
_08564_,285.5
_12006_,285.47
_11543_,285.4
_13134_,285.4
_08764_,285.31
_12890_,285.045
_11663_,284.72
net44,284.625
_10584_,284.115
_03563_,284.01
_01677_,283.7
alu_out_q\[3\],283.32
_08746_,283.27
mem_rdata_q\[24\],283.09
_10446_,283
_11424_,283
net321,282.76
_09478_,282.24
_11378_,281.84
_11227_,281.45
_08836_,281.29
_05598_,280.72
_10196_,280.485
net326,280.36
net354,280.275
_08938_,279.91
_14011_,279.68
_12624_,279.5
_08386_,279.26
_05553_,279.02
net104,278.98
net107,278.76
_10951_,278.42
alu_out_q\[1\],278.26
_11892_,278.12
net127,277.98
_08961_,277.76
net327,277.76
_11673_,277.61
_09349_,277.57
net109,277.48
_08462_,276.78
_05693_,276.52
_08747_,276.28
_13431_,275.83
_08716_,275.69
genblk1.pcpi_mul.rd\[27\],275.6
_11781_,275.505
_04413_,275.48
genblk1.pcpi_mul.rd\[26\],275.4
net328,275.38
genblk1.pcpi_mul.rd\[43\],275.36
_14408_,275.02
_05752_,274.81
_11216_,274.65
_14015_,274.59
_08420_,274.58
_09791_,274.56
net137,274.42
net140,274.2
_10305_,273.825
_08018_,273.62
_10339_,273.54
_05241_,273.36
net221,273.36
_02475_,272.78
decoded_imm_uj\[10\],272.56
_13079_,272.53
_13978_,272.405
_11076_,272.04
